S.No.,ACCESSION NO.,ORGANISM NAME,VRL,SPECIES,LENGTH,GEO LOCATION,HOST,COLLECTION DATE
972,AVA09882,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
973,AVA09883,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
974,AVA09884,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Mus musculus,2015
975,AVA09885,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
976,AVA09886,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
977,AVA09887,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
978,AVA09888,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
979,AVA09889,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
980,AVA09890,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Mus musculus,2015
981,AVA09891,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Mus musculus,2015
982,AVA09892,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
983,AVA09893,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
984,AVA09894,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
985,AVA09895,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
986,AVA09896,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
987,AVA09897,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
988,AVA09898,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
989,AVA09899,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
990,AVA09900,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Apodemus agrarius,2015
991,AVA09901,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2013
992,AVA09902,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2013
993,AVA09903,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
994,AVA09904,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
995,AVA09905,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2013
996,AVA09906,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2013
997,AVA09907,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
998,AVA09908,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
999,AVA09909,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1000,AVA09910,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1001,AVA09911,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1002,AVA09912,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1003,AVA09913,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Apodemus agrarius,2012
1004,AVA09914,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Apodemus agrarius,2015
1005,AVA09915,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Apodemus agrarius,2013
1006,AVA09916,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1007,AVA09917,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2013
1008,AVA09918,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
1009,AVA09919,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
1010,AVA09920,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
1011,AVA09921,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
1012,AVA09922,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
1013,AVA09923,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1014,AVA09924,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1015,AVA09925,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1016,AVA09926,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1017,AVA09927,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1018,AVA09928,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1019,AVA09929,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1020,AVA09930,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1021,AVA09931,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1022,AVA09932,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1023,AVA09933,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1024,AVA09934,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
1025,AVA09935,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1026,AVA09936,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1027,AVA09937,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1028,AVA09938,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1029,AVA09939,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1030,AVA09940,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2014
1031,AVA09941,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Apodemus agrarius,2015
1032,AVA09942,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Apodemus agrarius,2013
1033,AVA09943,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
1034,AVA09944,Orthohantavirus sp.,28-02-2018,Orthohantavirus sp.,429,China,Rattus norvegicus,2015
1035,AUZ98441,Orthohantavirus sinnombreense,12-02-2018,Orthohantavirus sinnombreense,428,"USA: Shelter Island, NY",Peromyscus leucopus,1994-10
1036,AUS94297,Orthohantavirus andesense,29-01-2018,Orthohantavirus andesense,428,Switzerland,Homo sapiens,26-12-2016
1037,AUS83824,Orthohantavirus seoulense,28-01-2018,Orthohantavirus seoulense,429,South Korea,Rattus norvegicus,30-09-2010
1038,AUS83825,Orthohantavirus seoulense,28-01-2018,Orthohantavirus seoulense,429,South Korea,Rattus norvegicus,20-10-2010
1039,AUS83826,Orthohantavirus seoulense,28-01-2018,Orthohantavirus seoulense,429,South Korea,Rattus norvegicus,28-07-2011
1040,AUS83827,Orthohantavirus seoulense,28-01-2018,Orthohantavirus seoulense,429,South Korea,Rattus norvegicus,28-07-2011
1041,AUS83830,Orthohantavirus seoulense,28-01-2018,Orthohantavirus seoulense,429,South Korea,Homo sapiens,2002
1042,AUS83831,Orthohantavirus seoulense,28-01-2018,Orthohantavirus seoulense,429,South Korea,Homo sapiens,2002
1043,AUS83832,Orthohantavirus seoulense,28-01-2018,Orthohantavirus seoulense,429,South Korea,Homo sapiens,2002
1044,AUI44483,Orthohantavirus brugesense,07-01-2018,Orthohantavirus brugesense,430,Germany,Talpa europaea,2013-03
1045,APD78410,Choclo virus,31-12-2017,Orthohantavirus chocloense,428,Panama,Oligoryzomys fulvescens,06-03-2000
1046,ATU31374,Asturias virus,30-11-2017,Asturias virus,429,Spain,Talpa occidentalis,
1047,ATX68042,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1048,ATX68043,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1049,ATX68044,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1050,ATX68045,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1051,ATX68046,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1052,ATX68047,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1053,ATX68048,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1054,ATX68049,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1055,ATX68050,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1056,ATX68051,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1057,ATX68052,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1058,ATX68053,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1059,ATX68054,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1060,ATX68055,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1061,ATX68056,Seewis virus,27-11-2017,Seewis orhtohantavirus,429,Finland,Sorex araneus,
1062,ATV90834,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2011-11
1063,ATV90835,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2008-05
1064,ATV90836,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2014-06
1065,ATV90837,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2014-06
1066,ATV90838,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2014-06
1067,ATV90839,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2012-06
1068,ATV90840,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2015-04
1069,ATV90841,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2015-06
1070,ATV90842,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2015-06
1071,ATV90843,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2014-10
1072,ATV90844,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2015-09
1073,ATV90845,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2015-09
1074,ATV90846,Orthohantavirus puumalaense,20-11-2017,Orthohantavirus puumalaense,433,France,Myodes glareolus,2015-08
1075,ATO93788,Orthohantavirus hantanense,01-11-2017,Orthohantavirus hantanense,429,China,Homo sapiens,2016
1076,ATO93789,Orthohantavirus hantanense,01-11-2017,Orthohantavirus hantanense,429,China,Homo sapiens,2016
1077,ATG34072,Juquitiba virus,07-10-2017,Juquitiba virus,428,Brazil,Oligoryzomys nigripes,2015-06
1078,ATE81656,Maripa hantavirus,01-10-2017,Orthohantavirus negraense,428,French Guiana,Homo sapiens,2010-12
1079,ATE81657,Maripa hantavirus,01-10-2017,Orthohantavirus negraense,428,French Guiana,Homo sapiens,2013-05
1080,ATE81658,Maripa hantavirus,01-10-2017,Orthohantavirus negraense,428,French Guiana,Homo sapiens,2016-10
1081,ASR73559,Juquitiba virus,12-09-2017,Juquitiba virus,428,Brazil: Goias State,Oligoryzomys nigripes,2006-08
1082,BAZ96164,Orthohantavirus hantanense,04-07-2017,Orthohantavirus hantanense,429,South Korea,,
1083,BAZ96165,Orthohantavirus hantanense,04-07-2017,Orthohantavirus hantanense,429,South Korea,,
1084,ASD56708,Orthohantavirus hantanense,01-07-2017,Orthohantavirus hantanense,429,China: Jiangxi,Apodemus agrarius,2011
1085,ASD56709,Orthohantavirus hantanense,01-07-2017,Orthohantavirus hantanense,429,China: Jiangxi,Mus musculus,2011
1086,ASD56710,Orthohantavirus hantanense,01-07-2017,Orthohantavirus hantanense,429,China: Jiangxi,Mus musculus,2011
1087,ASD56711,Orthohantavirus seoulense,01-07-2017,Orthohantavirus seoulense,429,China: Jiangxi,Rattus norvegicus,2011
1088,ASD56712,Orthohantavirus seoulense,01-07-2017,Orthohantavirus seoulense,429,China: Jiangxi,Rattus norvegicus,2011
1089,ASD56713,Orthohantavirus seoulense,01-07-2017,Orthohantavirus seoulense,429,China: Jiangxi,Apodemus agrarius,2011
1090,ASD56714,Orthohantavirus hantanense,01-07-2017,Orthohantavirus hantanense,429,China: Jiangxi,Mus musculus,2011
1091,ARO49441,Orthohantavirus hantanense,09-05-2017,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,
1092,ARO49442,Orthohantavirus hantanense,09-05-2017,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,
1093,ARO49443,Orthohantavirus hantanense,09-05-2017,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,
1094,ARE72469,Orthohantavirus seoulense,11-04-2017,Orthohantavirus seoulense,429,France: 68230 Turckheim,Homo sapiens,22-02-2016
1095,ARE72470,Orthohantavirus seoulense,11-04-2017,Orthohantavirus seoulense,429,France: 68230 Turckheim,Rattus norvegicus,05-02-2016
1096,ARE72471,Orthohantavirus seoulense,11-04-2017,Orthohantavirus seoulense,429,France: 01560 Mantenay-Montlin,Rattus norvegicus,03-04-2015
1097,ARE72472,Orthohantavirus seoulense,11-04-2017,Orthohantavirus seoulense,429,France: 01560 Mantenay-Montlin,Rattus norvegicus,03-04-2015
1098,ARE72473,Orthohantavirus seoulense,11-04-2017,Orthohantavirus seoulense,429,France: 55000 Erize Saint Dizier,Rattus norvegicus,12-09-2014
1099,ARE72474,Orthohantavirus seoulense,11-04-2017,Orthohantavirus seoulense,429,France: 55000 Erize Saint Dizier,Homo sapiens,08-10-2014
1100,AQR58377,Orthohantavirus seoulense,22-02-2017,Orthohantavirus seoulense,429,China,Rattus norvegicus,20-07-2014
1101,AQN78324,Orthohantavirus puumalaense,18-02-2017,Orthohantavirus puumalaense,433,Poland: Mikolajki,Myodes glareolus,10-08-2009
1102,AQN78325,Orthohantavirus puumalaense,18-02-2017,Orthohantavirus puumalaense,433,Poland: Telesnica Oszwarowa,Myodes glareolus,03-09-2009
1103,AQN78326,Orthohantavirus puumalaense,18-02-2017,Orthohantavirus puumalaense,428,Poland: Telesnica Oszwarowa,Myodes glareolus,28-08-2009
1104,AOZ65471,Orthohantavirus puumalaense,25-01-2017,Orthohantavirus puumalaense,433,Lithuania: Lukstas,Myodes glareolus,01-10-2015
1105,AOZ65472,Orthohantavirus puumalaense,25-01-2017,Orthohantavirus puumalaense,433,Lithuania: Lukstas,Myodes glareolus,01-10-2015
1106,AOZ65473,Orthohantavirus puumalaense,25-01-2017,Orthohantavirus puumalaense,433,Lithuania: Lukstas,Myodes glareolus,01-10-2015
1107,APQ31253,Orthohantavirus seoulense,27-12-2016,Orthohantavirus seoulense,429,United Kingdom,Rattus norvegicus,1984
1108,APQ31256,Orthohantavirus seoulense,27-12-2016,Orthohantavirus seoulense,429,United Kingdom,Rattus norvegicus,1984
1109,APQ31259,Orthohantavirus seoulense,27-12-2016,Orthohantavirus seoulense,429,United Kingdom,Rattus norvegicus,1984
1110,APQ43820,Orthohantavirus hantanense,27-12-2016,Orthohantavirus hantanense,429,China,Homo sapiens,2016
1111,APQ43821,Orthohantavirus hantanense,27-12-2016,Orthohantavirus hantanense,429,China,Homo sapiens,2016
1112,APQ43822,Orthohantavirus hantanense,27-12-2016,Orthohantavirus hantanense,429,China,Homo sapiens,2016
1113,APQ43823,Orthohantavirus hantanense,27-12-2016,Orthohantavirus hantanense,429,China,Homo sapiens,2016
1114,APQ43824,Orthohantavirus hantanense,27-12-2016,Orthohantavirus hantanense,429,China,Homo sapiens,2016
1115,APQ43825,Orthohantavirus hantanense,27-12-2016,Orthohantavirus hantanense,429,China,Homo sapiens,2016
1116,ANK77963,Orthohantavirus hantanense,09-12-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-08-2010
1117,ANK77964,Orthohantavirus hantanense,09-12-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,29-11-2010
1118,ANK77965,Orthohantavirus hantanense,09-12-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-09-2014
1119,ANK77966,Orthohantavirus hantanense,09-12-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-09-2014
1120,ANK77967,Orthohantavirus hantanense,09-12-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-09-2014
1121,ANK77968,Orthohantavirus hantanense,09-12-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-09-2014
1122,ANK77969,Orthohantavirus hantanense,09-12-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,24-09-2014
1123,APH07635,Orthohantavirus hantanense,09-12-2016,Orthohantavirus hantanense,429,South Korea,,12-09-2013
1124,APH07636,Orthohantavirus hantanense,09-12-2016,Orthohantavirus hantanense,429,South Korea,,23-09-2014
1125,APH07637,Orthohantavirus hantanense,09-12-2016,Orthohantavirus hantanense,429,South Korea,,24-09-2014
1126,APH07638,Orthohantavirus hantanense,09-12-2016,Orthohantavirus hantanense,429,South Korea,,25-09-2014
1127,APH07639,Orthohantavirus hantanense,09-12-2016,Orthohantavirus hantanense,429,South Korea,,25-09-2014
1128,AOV81951,Orthohantavirus puumalaense,13-10-2016,Orthohantavirus puumalaense,433,Netherlands,Myodes glareolus,
1129,AOV81952,Orthohantavirus puumalaense,13-10-2016,Orthohantavirus puumalaense,433,Netherlands,Myodes glareolus,
1130,AOV81953,Orthohantavirus puumalaense,13-10-2016,Orthohantavirus puumalaense,433,Netherlands,Myodes glareolus,
1131,AOV81954,Orthohantavirus puumalaense,13-10-2016,Orthohantavirus puumalaense,433,Netherlands,Myodes glareolus,
1132,AOV81955,Orthohantavirus puumalaense,13-10-2016,Orthohantavirus puumalaense,433,Netherlands,Myodes glareolus,
1133,AOV81956,Orthohantavirus puumalaense,13-10-2016,Orthohantavirus puumalaense,433,Netherlands,Myodes glareolus,
1134,AOV81957,Orthohantavirus puumalaense,13-10-2016,Orthohantavirus puumalaense,433,Netherlands,Myodes glareolus,
1135,AOV81958,Orthohantavirus puumalaense,13-10-2016,Orthohantavirus puumalaense,433,Netherlands,Myodes glareolus,
1136,AOV81959,Orthohantavirus puumalaense,13-10-2016,Orthohantavirus puumalaense,433,Netherlands,Myodes glareolus,
1137,AOR07002,Tigray virus,24-09-2016,Orthohantavirus tigrayense,428,Ethiopia,Stenocephalemys albipes,10-10-2010
1138,AOC84246,Bruges virus,21-08-2016,Orthohantavirus brugesense,430,Belgium,Talpa europaea,09-12-2013
1139,ANK77986,Orthohantavirus hantanense,22-06-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,10-06-2004
1140,ANK77987,Orthohantavirus hantanense,22-06-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,25-03-2005
1141,ANK77988,Orthohantavirus hantanense,22-06-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,07-01-2009
1142,ANK77989,Orthohantavirus hantanense,22-06-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,10-03-2009
1143,ANK77990,Orthohantavirus hantanense,22-06-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,11-05-2010
1144,ANK77991,Orthohantavirus hantanense,22-06-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-04-2015
1145,ANK77992,Orthohantavirus hantanense,22-06-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-04-2015
1146,ANK77993,Orthohantavirus hantanense,22-06-2016,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-04-2015
1147,ANK78002,Orthohantavirus hantanense,22-06-2016,Orthohantavirus hantanense,429,South Korea,Homo sapiens,16-12-2013
1148,ANK78003,Orthohantavirus hantanense,22-06-2016,Orthohantavirus hantanense,429,South Korea,Homo sapiens,28-11-2014
1149,ANK78004,Orthohantavirus hantanense,22-06-2016,Orthohantavirus hantanense,429,South Korea,Homo sapiens,24-12-2014
1150,ANK78005,Orthohantavirus hantanense,22-06-2016,Orthohantavirus hantanense,429,South Korea,Homo sapiens,21-05-2015
1151,AMX23686,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,25-03-2003
1152,AMX23687,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,09-06-2003
1153,AMX23688,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,09-06-2003
1154,AMX23689,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,22-03-2005
1155,AMX23690,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,24-03-2005
1156,AMX23691,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,25-03-2005
1157,AMX23692,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,21-06-2005
1158,AMX23693,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,08-09-2005
1159,AMX23694,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,08-09-2005
1160,AMX23695,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,30-04-2009
1161,AMX23696,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,24-06-2009
1162,AMX23697,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,24-06-2009
1163,AMX23698,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,25-03-2010
1164,AMX23699,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,11-05-2010
1165,AMX23700,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,23-08-2010
1166,AMX23701,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,29-11-2010
1167,AMX23702,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,29-11-2010
1168,AMX23703,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,01-12-2010
1169,AMX23704,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,23-09-2014
1170,AMX23705,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,23-09-2014
1171,AMX23706,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,23-09-2014
1172,AMX23707,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,24-09-2014
1173,AMX23708,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,24-09-2014
1174,AMX23709,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,04-11-2014
1175,AMX23710,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,04-11-2014
1176,AMX23711,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,14-11-2014
1177,AMX23712,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,14-11-2014
1178,AMX23713,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,14-11-2014
1179,AMX23714,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,21-11-2014
1180,AMX23715,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,21-11-2014
1181,AMX23716,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,21-11-2014
1182,AMX23717,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,21-11-2014
1183,AMX23718,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,21-11-2014
1184,AMX23719,Orthohantavirus hantanense,11-05-2016,Orthohantavirus hantanense,429,South Korea,,21-11-2014
1185,ALA20822,Orthohantavirus hantanense,31-03-2016,Orthohantavirus hantanense,429,China,Apodemus agrarius,01-06-2013
1186,ALA20823,Orthohantavirus hantanense,31-03-2016,Orthohantavirus hantanense,429,China,Apodemus agrarius,01-06-2013
1187,ALA20824,Orthohantavirus hantanense,31-03-2016,Orthohantavirus hantanense,429,China,Rattus norvegicus,01-06-2013
1188,ALA20825,Orthohantavirus hantanense,31-03-2016,Orthohantavirus hantanense,429,China,Apodemus agrarius,01-06-2013
1189,ALA20826,Orthohantavirus hantanense,31-03-2016,Orthohantavirus hantanense,429,China,Rattus norvegicus,01-06-2013
1190,ALA20827,Orthohantavirus hantanense,31-03-2016,Orthohantavirus hantanense,429,China,Microtus fortis,01-06-2013
1191,ALA20828,Orthohantavirus hantanense,31-03-2016,Orthohantavirus hantanense,429,China,Microtus fortis,01-06-2013
1192,ALA20829,Orthohantavirus hantanense,31-03-2016,Orthohantavirus hantanense,429,China,Homo sapiens,01-06-2013
1193,ALA20830,Orthohantavirus hantanense,31-03-2016,Orthohantavirus hantanense,429,China,Homo sapiens,01-06-2013
1194,ALA20831,Orthohantavirus hantanense,31-03-2016,Orthohantavirus hantanense,429,China,Homo sapiens,01-06-2013
1195,ALA20832,Orthohantavirus hantanense,31-03-2016,Orthohantavirus hantanense,429,China,Homo sapiens,01-06-2013
1196,ALA20833,Orthohantavirus hantanense,31-03-2016,Orthohantavirus hantanense,429,China,Homo sapiens,01-06-2013
1197,AMN88567,Xinyi virus,09-03-2016,Xinyi virus,428,Taiwan,Anourosorex yamashinai,
1198,AKD00015,Amga virus,31-01-2016,Amga orthohantavirus,429,Russia,Sorex caecutiens,10-08-2006
1199,ALP13864,Orthohantavirus tulaense,24-12-2015,Orthohantavirus tulaense,429,France: 77320 Chevru,Homo sapiens,18-06-2015
1200,ALS35595,Orthohantavirus seoulense,16-12-2015,Orthohantavirus seoulense,429,USA,Rattus norvegicus,1984
1201,ALP44172,Orthohantavirus dobravaense,28-11-2015,Orthohantavirus dobravaense,429,Russia,Apodemus ponticus,2013
1202,ALP44173,Orthohantavirus dobravaense,28-11-2015,Orthohantavirus dobravaense,429,Russia,Apodemus ponticus,2013
1203,ALP44174,Orthohantavirus dobravaense,28-11-2015,Orthohantavirus dobravaense,429,Russia,Homo sapiens,2013
1204,ALJ30165,Orthohantavirus puumalaense,19-10-2015,Orthohantavirus puumalaense,433,France,Myodes glareolus,23-11-2011
